loan_amnt,term,annual_inc,dti,fico_score,inq_last_6mths,delinq_2yrs,open_acc,pub_rec,revol_bal,revol_util,total_acc,emp_length,loan_to_income,fico_dti_ratio,credit_age_proxy,delinq_pub_sum,log_annual_inc,log_revol_bal,home_ownership,purpose,verification_status,addr_state,llm_employment_stability,llm_income_confidence,llm_debt_stress_signal,llm_repayment_intent_score,llm_urgency_flag,llm_financial_literacy_signal,llm_purpose_clarity,llm_future_orientation,loan_idx,y
-0.042372875,-0.25253275,0.05504776,-0.0070570563,0.22834708,-0.035717376,0.0024223437,0.1748666,0.0022414906,-0.08449377,0.053374205,-0.08005685,-0.11230558,0.06325226,0.010049734,0.015502488,-0.0033843843,-0.002419829,0.0019994352,0.19093437,0.16818726,0.064578906,-0.057263218,0.030018464,0.0301642,0.05828737,0.15661563,-0.03585559,0.007057476,0.18259592,0.02492376,3599,1
-0.060423397,0.65106964,0.06325254,0.21817496,0.24045148,-0.046958297,-8.827294e-05,0.04608409,-0.012045683,0.018615413,0.0039562215,-0.04276639,-0.06690902,-0.13429068,-0.020553797,0.009982626,-0.04614307,0.009739598,0.013032041,0.19253284,-0.06980263,0.07961753,-0.06967833,0.058425862,-0.18952727,-0.013381997,0.006994497,-0.23006986,-0.056331065,-0.03535839,0.061548732,4121,1
-0.078887984,0.5984905,-0.012396038,-0.012443208,0.070131086,-0.032602157,-0.021462217,-0.05214352,-0.0055638636,0.08535,0.030956289,-0.020720748,-0.06996933,-0.16363999,-0.0014600657,-0.365368,-0.032297444,0.0014421758,0.015337493,-0.16821781,0.14016472,-0.095286235,0.09382701,-0.10149219,0.059158627,-0.04687811,0.050328318,0.11587854,0.11814845,-0.0930182,0.00033377763,29,0
-0.025288569,-0.24119791,-0.006271653,-0.044332888,-0.016003504,-0.032196563,-6.404317e-05,-0.065822996,0.000316977,-0.14200732,0.002459384,-0.046531036,-0.12289955,-0.0033829592,0.01267246,-0.027238129,0.011600916,0.017195456,-0.019127414,-0.23669563,-0.11115063,0.033854652,-0.08695913,0.06549029,0.013165612,0.02648528,0.0065524485,-0.15995716,-0.047375455,-0.017062688,0.059455194,65,0
-0.02986761,0.6476289,-0.0147190485,0.005461338,0.049048614,0.027662124,0.0009016483,0.15189132,-0.0019653353,-0.22848514,-0.0727224,0.047704324,0.0576512,0.13793334,0.032110028,-0.052581795,0.004216726,0.006942029,-0.035055548,-0.14751033,-0.0068893884,0.041158374,-0.108799264,-0.049256306,0.079029135,-0.14249314,-0.001692117,0.23932678,0.08092014,-0.03780118,-0.08066656,838,0
0.07452459,-0.19348854,0.007349075,0.03980318,0.032875646,-0.028925827,0.0012456228,-0.046490148,0.0010405815,-0.014722523,-0.018459307,-0.063657746,0.061542843,0.033380974,0.036637425,0.36715874,0.027130991,-0.008078685,-0.0010955062,0.18743834,0.0067403694,-0.13841106,0.05785107,-0.052010026,0.041449465,0.056858204,0.026413083,-0.048859574,-0.08767781,-0.0410209,-0.11250762,3906,1
-0.0013461419,-0.21623768,0.0023847225,0.039781608,-0.002765086,-0.03280687,-0.00015909968,-0.07515457,-0.022644801,-0.05968108,-0.055590365,0.021084651,-0.06788665,-0.080271095,0.054693617,-0.013457638,-0.052964102,-0.003525572,-0.0023269204,0.20380117,0.009933701,0.07170922,-0.07304371,0.07368627,-0.006364568,0.0073078824,0.05080306,-0.08656488,-0.10046863,0.06727294,0.0485678,3773,1
-0.03696488,0.5582882,0.029893812,0.037414044,-0.3838397,-0.03451327,0.00039390038,0.046789158,0.0021928195,-0.020079706,-0.0068995915,-0.027745193,-0.1262239,-0.20717059,0.067569256,-0.0080807945,0.013353069,0.022026548,0.01860332,-0.14416808,-0.11160311,0.04943771,-0.124633476,0.059527814,0.119169846,0.0726915,-0.16493638,0.177757,-0.048235975,-0.0156107275,0.036237467,4635,1
0.110910036,0.54386,0.04403386,-0.045237936,0.22257856,-0.03327509,0.00039390038,-0.038212627,0.0011821,0.03306881,-0.026990369,-0.18304358,-0.120129704,0.091865584,-0.03851073,0.03290281,0.0060027204,0.026916329,0.012010179,0.1817313,-0.029363189,0.033584714,-0.03332034,0.030380862,0.040379148,0.013193658,0.057726905,-0.109178565,-0.018799124,-0.065871835,0.052096948,3161,1
-0.05385475,0.5034914,0.014456399,-0.021027267,0.23000814,0.028078124,0.0011606528,0.1027139,-0.00010718472,-0.105573475,0.020034492,-0.020079229,-0.09164773,-0.08717291,-0.010076696,0.06352015,0.023903918,-0.0017509763,-0.025556337,0.23046432,0.23087408,-0.09504968,-0.00852499,0.03377477,-0.055753894,0.026216567,0.063663036,0.19407482,-0.0036381527,-0.087613255,0.047067747,2659,1
